,Player,Team,Height,Season
665,John Starks,UTA,6-5,2002
666,John Stockton,UTA,6-1,2002
667,John Wallace,PHX,6-9,2002
668,Johnny Newman,DAL,6-7,2002
669,Jon Barry,DET,6-5,2002
670,Jonathan Bender,IND,7-0,2002
671,Joseph Forte,BOS,6-4,2002
672,Jud Buechler,ORL,6-6,2002
673,Jumaine Jones,CLE,6-8,2002
674,Juwan Howard,DEN,6-9,2002
675,Karl Malone,UTA,6-9,2002
676,Kedrick Brown,BOS,6-7,2002
677,Keith Van Horn,NJN,6-10,2002
678,Kelvin Cato,HOU,6-11,2002
679,Kendall Gill,MIA,6-5,2002
680,Kenny Anderson,BOS,6-1,2002
681,Kenny Satterfield,DEN,6-1,2002
682,Kenny Thomas,HOU,6-7,2002
683,Kenyon Martin,NJN,6-9,2002
684,Keon Clark,TOR,6-11,2002
685,Kerry Kittles,NJN,6-5,2002
686,Kevin Garnett,MIN,6-11,2002
687,Kevin Ollie,IND,6-2,2002
688,Kevin Willis,HOU,7-0,2002
689,Keyon Dooling,LAC,6-3,2002
690,Kirk Haston,CHH,6-9,2002
691,Kobe Bryant,LAL,6-7,2002
692,Kurt Thomas,NYK,6-9,2002
693,Kwame Brown,WAS,6-11,2002
694,LaPhonso Ellis,MIA,6-8,2002
695,Lamar Odom,LAC,6-10,2002
696,Lamond Murray,CLE,6-7,2002
697,Larry Hughes,GSW,6-5,2002
698,Larry Robinson,NYK,6-3,2002
699,Latrell Sprewell,NYK,6-5,2002
700,Lavor Postell,NYK,6-5,2002
701,Lawrence Funderburke,SAC,6-9,2002
702,Lee Nailon,CHH,6-9,2002
703,Leon Smith,ATL,6-10,2002
704,Lindsey Hunter,LAL,6-2,2002
705,Loren Woods,MIN,7-1,2002
706,Lorenzen Wright,MEM,6-11,2002
707,Lucious Harris,NJN,6-5,2002
708,Malik Allen,MIA,6-10,2002
709,Malik Rose,SAS,6-7,2002
710,Mamadou N'diaye,TOR,7-0,2002
711,Marc Jackson,MIN,6-10,2002
712,Marcus Camby,NYK,6-11,2002
713,Marcus Fizer,CHI,6-9,2002
714,Mark Blount,BOS,7-0,2002
715,Mark Bryant,SAS,6-9,2002
716,Mark Jackson,NYK,6-3,2002
717,Mark Madsen,LAL,6-9,2002
718,Mark Pope,MIL,6-10,2002
719,Mark Strickland,ATL,6-10,2002
720,Mateen Cleaves,SAC,6-2,2002
721,Matt Bullard,CHH,,2002
722,Matt Geiger,PHI,,2002
723,Matt Harpring,PHI,6-7,2002
724,Maurice Evans,MIN,6-5,2002
725,Mengke Bateer,DEN,6-11,2002
726,Metta World Peace,IND,6-7,2002
727,Michael Bradley,TOR,6-9,2002
728,Michael Curry,DET,6-5,2002
729,Michael Dickerson,MEM,6-5,2002
730,Michael Doleac,CLE,6-11,2002
731,Michael Finley,DAL,6-7,2002
732,Michael Jordan,WAS,6-6,2002
733,Michael Olowokandi,LAC,7-0,2002
734,Michael Redd,MIL,6-6,2002
735,Michael Ruffin,PHI,6-8,2002
736,Michael Stewart,TOR,6-10,2002
737,Mike Bibby,SAC,6-1,2002
738,Mike James,MIA,6-2,2002
739,Mike Miller,ORL,6-8,2002
740,Mike Penberthy,LAL,6-3,2002
741,Mikki Moore,DET,7-0,2002
742,Milt Palacio,PHX,6-3,2002
743,Mitch Richmond,LAL,6-5,2002
744,Mitchell Butler,POR,6-5,2002
745,Monty Williams,ORL,6-8,2002
746,Moochie Norris,HOU,6-1,2002
747,Mookie Blaylock,GSW,,2002
748,Morris Peterson,TOR,6-7,2002
749,Nazr Mohammed,ATL,6-10,2002
750,Nick Anderson,MEM,,2002
751,Nick Van Exel,DAL,6-1,2002
752,Norman Richardson,CHI,6-5,2002
753,Obinna Ekezie,LAC,6-9,2002
754,Olumide Oyedeji,SEA,6-10,2002
755,Oscar Torres,HOU,6-6,2002
756,Othella Harrington,NYK,6-9,2002
757,P.J. Brown,CHH,6-11,2002
758,Pat Garrity,ORL,6-9,2002
759,Patrick Ewing,ORL,7-0,2002
760,Pau Gasol,MEM,7-0,2002
761,Paul Pierce,BOS,6-6,2002
762,Peja Stojakovic,SAC,6-9,2002
763,Popeye Jones,WAS,6-8,2002
764,Predrag Drobnjak,SEA,6-11,2002
765,Primoz Brezec,IND,7-1,2002
766,Quentin Richardson,LAC,6-6,2002
767,Quincy Lewis,UTA,6-7,2002
768,Raef LaFrentz,DAL,6-11,2002
769,Rafer Alston,MIL,6-2,2002
770,Raja Bell,PHI,6-5,2002
771,Randy Brown,BOS,6-2,2002
772,Randy Livingston,SEA,6-4,2002
773,Rashard Lewis,SEA,6-10,2002
774,Rasheed Wallace,POR,6-11,2002
775,Rasho Nesterovic,MIN,7-0,2002
776,Ratko Varda,DET,,2002
777,Ray Allen,MIL,6-5,2002
778,Reggie Miller,IND,6-7,2002
779,Reggie Slater,ATL,6-7,2002
780,Richard Hamilton,WAS,6-7,2002
781,Richard Jefferson,NJN,6-7,2002
782,Rick Brunson,POR,6-4,2002
783,Rick Fox,LAL,6-7,2002
784,Ricky Davis,CLE,6-7,2002
785,Robert Horry,LAL,6-10,2002
786,Robert Pack,MIN,6-2,2002
787,Robert Traylor,CHH,6-8,2002
788,Rod Strickland,MIA,6-3,2002
789,Rodney Buford,MEM,6-5,2002
790,Rodney Rogers,BOS,6-7,2002
791,Rodney White,DET,6-9,2002
792,Ron Mercer,IND,6-7,2002
793,Ruben Boumtje-Boumtje,POR,7-0,2002
794,Ruben Patterson,POR,6-5,2002
795,Rusty LaRue,UTA,6-3,2002
796,Ryan Bowen,DEN,6-9,2002
797,Sam Cassell,MIL,6-3,2002
798,Sam Mack,MIA,,2002
799,Sam Mitchell,MIN,6-7,2002
800,Samaki Walker,LAL,6-9,2002
801,Samuel Dalembert,PHI,6-11,2002
802,Scot Pollard,SAC,6-11,2002
803,Scott Padgett,UTA,6-9,2002
804,Scott Williams,DEN,6-10,2002
805,Scottie Pippen,POR,6-7,2002
806,Sean Marks,MIA,6-10,2002
807,Sean Rooks,LAC,6-10,2002
808,Shammond Williams,SEA,6-1,2002
809,Shandon Anderson,NYK,6-6,2002
810,Shane Battier,MEM,6-8,2002
811,Shaquille O'Neal,LAL,7-1,2002
812,Shareef Abdur-Rahim,ATL,6-9,2002
813,Shawn Bradley,DAL,7-6,2002
814,Shawn Kemp,POR,6-10,2002
815,Shawn Marion,PHX,6-7,2002
816,Shawnelle Scott,DEN,,2002
817,Slava Medvedenko,LAL,6-10,2002
818,Speedy Claxton,PHI,5-11,2002
819,Stacey Augmon,CHH,6-8,2002
820,Stephen Jackson,SAS,6-8,2002
821,Stephon Marbury,PHX,6-2,2002
822,Steve Francis,HOU,6-3,2002
823,Steve Goodrich,NJN,6-10,2002
824,Steve Kerr,POR,6-3,2002
825,Steve Nash,DAL,6-3,2002
826,Steven Hunter,ORL,6-10,2002
827,Steven Smith,SAS,6-8,2002
828,Stromile Swift,MEM,6-9,2002
829,Tang Hamilton,MIA,6-8,2002
830,Tariq Abdul-Wahad,DAL,6-6,2002
831,Terence Morris,HOU,6-9,2002
832,Terrell Brandon,MIN,5-11,2002
833,Terry Porter,SAS,6-3,2002
834,Theo Ratliff,ATL,6-10,2002
835,Tierre Brown,HOU,6-2,2002
836,Tim Duncan,SAS,7-0,2002
837,Tim Hardaway,DEN,6-0,2002
838,Tim James,PHI,,2002
839,Tim Thomas,MIL,6-10,2002
840,Todd MacCulloch,NJN,7-0,2002
841,Tom Gugliotta,PHX,6-10,2002
842,Toni Kukoc,ATL,6-11,2002
843,Tony Battie,BOS,6-11,2002
844,Tony Delk,BOS,6-2,2002
845,Tony Massenburg,MEM,6-9,2002
846,Tony Parker,SAS,6-2,2002
847,Tracy McGrady,ORL,6-8,2002
848,Tracy Murray,TOR,6-7,2002
849,Trajan Langdon,CLE,6-3,2002
850,Travis Best,CHI,5-11,2002
851,Travis Knight,NYK,7-0,2002
852,Tremaine Fowlkes,LAC,6-8,2002
853,Trenton Hassell,CHI,6-5,2002
854,Troy Hudson,ORL,6-1,2002
855,Troy Murphy,GSW,6-11,2002
856,Tyrone Hill,CLE,6-9,2002
857,Tyrone Nesby,WAS,6-6,2002
858,Tyronn Lue,WAS,6-0,2002
859,Tyson Chandler,CHI,7-1,2002
860,Victor Alexander,DET,6-10,2002
861,Vin Baker,SEA,6-11,2002
862,Vince Carter,TOR,6-6,2002
863,Vinny Del Negro,PHX,,2002
864,Vitaly Potapenko,BOS,6-10,2002
865,Vlade Divac,SAC,7-1,2002
866,Vladimir Radmanovic,SEA,6-10,2002
867,Vladimir Stepania,MIA,7-0,2002
868,Vonteego Cummings,PHI,6-3,2002
869,Voshon Lenard,DEN,6-4,2002
870,Wally Szczerbiak,MIN,6-7,2002
871,Walt Williams,HOU,6-8,2002
872,Walter McCarty,BOS,6-10,2002
873,Wang Zhi-zhi,DAL,7-1,2002
874,Wesley Person,CLE,6-6,2002
875,Will Solomon,MEM,6-1,2002
876,William Avery,MIN,,2002
877,Zach Randolph,POR,6-9,2002
878,Zeljko Rebraca,DET,7-0,2002
879,Zendon Hamilton,DEN,6-11,2002
880,Zydrunas Ilgauskas,CLE,7-3,2002
881,A.J. Guyton,GSW,6-1,2003
882,Aaron McKie,PHI,6-5,2003
883,Aaron Williams,NJN,6-9,2003
884,Adam Harrington,DEN,6-5,2003
885,Adonal Foyle,GSW,6-10,2003
886,Adrian Griffin,DAL,6-5,2003
887,Al Harrington,IND,6-9,2003
888,Alan Henderson,ATL,6-9,2003
889,Allan Houston,NYK,6-6,2003
890,Allen Iverson,PHI,6-0,2003
891,Alton Ford,PHX,6-9,2003
892,Alvin Williams,TOR,6-5,2003
893,Amal McCaskill,ATL,6-11,2003
894,Amar'e Stoudemire,PHX,6-10,2003
895,Andre Miller,LAC,6-2,2003
896,Andrei Kirilenko,UTA,6-9,2003
897,Andrew DeClercq,ORL,6-10,2003
898,Anfernee Hardaway,PHX,6-7,2003
899,Ansu Sesay,SEA,6-9,2003
900,Antawn Jamison,GSW,6-9,2003
901,Anthony Carter,MIA,6-2,2003
902,Anthony Goldwire,WAS,6-2,2003
903,Anthony Johnson,NJN,6-3,2003
904,Anthony Mason,MIL,6-8,2003
905,Anthony Peeler,MIN,6-4,2003
906,Antoine Rigaudeau,DAL,6-7,2003
907,Antoine Walker,BOS,6-9,2003
908,Antonio Daniels,POR,6-4,2003
909,Antonio Davis,TOR,6-9,2003
910,Antonio Harvey,ATL,6-11,2003
911,Art Long,TOR,6-9,2003
912,Arvydas Sabonis,POR,7-3,2003
913,Austin Croshere,IND,6-10,2003
914,Avery Johnson,DAL,5-11,2003
915,Baron Davis,NOH,6-3,2003
916,Ben Wallace,DET,6-9,2003
917,Bimbo Coles,BOS,6-2,2003
918,Bo Outlaw,PHX,6-8,2003
919,Bob Sura,GSW,6-5,2003
920,Bobby Jackson,SAC,6-1,2003
921,Bobby Simmons,WAS,6-6,2003
922,Bonzi Wells,POR,6-5,2003
923,Bostjan Nachbar,HOU,6-9,2003
924,Brad Miller,IND,7-0,2003
925,Brandon Armstrong,NJN,6-5,2003
926,Brandon Williams,ATL,6-6,2003
927,Brendan Haywood,WAS,7-0,2003
928,Brent Barry,SEA,6-6,2003
929,Brevin Knight,MEM,5-10,2003
930,Brian Cardinal,WAS,6-8,2003
931,Brian Grant,MIA,6-9,2003
932,Brian Scalabrine,NJN,6-9,2003
933,Brian Shaw,LAL,6-6,2003
934,Brian Skinner,PHI,6-9,2003
935,Bruce Bowen,SAS,6-7,2003
936,Bruno Sundov,BOS,7-2,2003
937,Bryce Drew,NOH,6-3,2003
938,Bryon Russell,WAS,6-7,2003
939,Calbert Cheaney,UTA,6-7,2003
940,Calvin Booth,SEA,6-11,2003
941,Carlos Arroyo,UTA,6-2,2003
942,Carlos Boozer,CLE,6-9,2003
943,Caron Butler,MIA,6-7,2003
944,Casey Jacobsen,PHX,6-6,2003
945,Cezary Trybanski,MEM,7-2,2003
946,Charles Oakley,WAS,6-9,2003
947,Charles Smith,POR,6-4,2003
948,Charlie Ward,NYK,6-2,2003
949,Chauncey Billups,DET,6-3,2003
950,Cherokee Parks,LAC,6-11,2003
951,Chris Andersen,DEN,6-10,2003
952,Chris Childs,NJN,6-3,2003
953,Chris Crawford,ATL,6-9,2003
954,Chris Dudley,POR,6-11,2003
955,Chris Jefferies,TOR,6-8,2003
956,Chris Mihm,CLE,7-0,2003
957,Chris Mills,GSW,6-7,2003
958,Chris Owens,MEM,6-7,2003
959,Chris Webber,SAC,6-10,2003
960,Chris Whitney,ORL,6-0,2003
961,Chris Wilcox,LAC,6-10,2003
962,Christian Laettner,WAS,6-11,2003
963,Chucky Atkins,DET,5-11,2003
964,Clar. Weatherspoon,NYK,6-7,2003
965,Clifford Robinson,DET,6-10,2003
966,Corey Benjamin,ATL,6-6,2003
967,Corey Maggette,LAC,6-6,2003
968,Corie Blount,CHI,6-10,2003
969,Corliss Williamson,DET,6-7,2003
970,Courtney Alexander,NOH,6-5,2003
971,Cuttino Mobley,HOU,6-4,2003
972,Dajuan Wagner,CLE,6-3,2003
973,Dale Davis,POR,6-11,2003
974,Dalibor Bagaric,CHI,7-1,2003
975,Damon Jones,SAC,6-3,2003
976,Damon Stoudamire,POR,5-10,2003
977,Damone Brown,TOR,6-8,2003
978,Dan Dickau,ATL,6-0,2003
979,Dan Gadzuric,MIL,6-11,2003
980,Dan Langhi,PHX,6-11,2003
981,Danny Ferry,SAS,6-10,2003
982,Danny Fortson,GSW,6-8,2003
983,Danny Manning,DET,6-10,2003
984,Darius Miles,CLE,6-9,2003
985,Darrell Armstrong,ORL,6-1,2003
986,Darvin Ham,ATL,6-7,2003
987,David Robinson,SAS,7-1,2003
988,David Wesley,NOH,6-1,2003
989,DeSagana Diop,CLE,7-0,2003
990,DeShawn Stevenson,UTA,6-5,2003
991,Dean Oliver,GSW,5-11,2003
992,Derek Anderson,POR,6-5,2003
993,Derek Fisher,LAL,6-1,2003
994,Derrick Coleman,PHI,6-10,2003
995,Desmond Mason,MIL,6-5,2003
996,Devean George,LAL,6-8,2003
997,Devin Brown,DEN,6-5,2003
998,Dikembe Mutombo,NJN,7-2,2003
999,Dion Glover,ATL,6-5,2003
1000,Dirk Nowitzki,DAL,7-0,2003
1001,Don Reid,DET,6-8,2003
1002,Donnell Harvey,DEN,6-8,2003
1003,Donny Marshall,NJN,6-7,2003
1004,Donyell Marshall,CHI,6-9,2003
1005,Doug Christie,SAC,6-6,2003
1006,Drew Gooden,ORL,6-10,2003
1007,Earl Boykins,GSW,5-5,2003
1008,Earl Watson,MEM,6-1,2003
1009,Eddie Griffin,HOU,6-10,2003
1010,Eddie House,MIA,6-1,2003
1011,Eddie Jones,MIA,6-6,2003
1012,Eddie Robinson,CHI,6-9,2003
1013,Eddy Curry,CHI,6-11,2003
1014,Eduardo Najera,DAL,6-8,2003
1015,Efthimios Rentzias,PHI,6-11,2003
1016,Elden Campbell,SEA,7-0,2003
1017,Elton Brand,LAC,6-8,2003
1018,Emanual Davis,ATL,6-5,2003
1019,Eric Piatkowski,LAC,6-6,2003
1020,Eric Snow,PHI,6-3,2003
1021,Eric Williams,BOS,6-8,2003
1022,Erick Dampier,GSW,6-11,2003
1023,Erick Strickland,IND,6-3,2003
1024,Ervin Johnson,MIL,6-11,2003
1025,Etan Thomas,WAS,6-10,2003
1026,Evan Eschmeyer,DAL,6-11,2003
1027,Flip Murray,SEA,6-4,2003
1028,Frank Williams,NYK,6-3,2003
1029,Fred Hoiberg,CHI,6-5,2003
1030,Fred Jones,IND,6-2,2003
1031,Gary Payton,MIL,6-4,2003
1032,Gary Trent,MIN,6-8,2003
1033,George Lynch,NOH,6-8,2003
1034,Gerald Wallace,SAC,6-7,2003
1035,Gilbert Arenas,GSW,6-3,2003
1036,Glen Rice,HOU,6-8,2003
1037,Glenn Robinson,ATL,6-7,2003
1038,Gordan Giricek,ORL,6-6,2003
1039,Grant Hill,ORL,6-8,2003
1040,Grant Long,BOS,6-9,2003
1041,Greg Buckner,PHI,6-4,2003
1042,Greg Foster,TOR,,2003
1043,Greg Ostertag,UTA,7-2,2003
1044,Guy Rucker,GSW,6-9,2003
1045,Hedo Turkoglu,SAC,6-10,2003
1046,Horace Grant,ORL,6-10,2003
1047,Howard Eisley,NYK,6-2,2003
1048,Hubert Davis,DET,6-5,2003
1049,Igor Rakocevic,MIN,6-2,2003
1050,Ira Newble,ATL,6-7,2003
1051,J.R. Bremer,BOS,6-2,2003
1052,Jacque Vaughn,ORL,6-1,2003
1053,Jahidi White,WAS,6-9,2003
1054,Jake Tsakalidis,PHX,7-2,2003
1055,Jake Voskuhl,PHX,6-11,2003
1056,Jalen Rose,CHI,6-8,2003
1057,Jamaal Magloire,NOH,6-11,2003
1058,Jamaal Tinsley,IND,6-3,2003
1059,Jamal Crawford,CHI,6-5,2003
1060,Jamal Mashburn,NOH,6-8,2003
1061,Jamal Sampson,MIL,6-11,2003
1062,James Posey,HOU,6-8,2003
1063,Jamison Brewer,IND,6-4,2003
1064,Jannero Pargo,LAL,6-2,2003
1065,Jared Jeffries,WAS,6-11,2003
1066,Jarron Collins,UTA,6-11,2003
1067,Jason Caffey,MIL,6-8,2003
1068,Jason Collier,HOU,7-0,2003
1069,Jason Collins,NJN,7-0,2003
1070,Jason Kidd,NJN,6-4,2003
1071,Jason Richardson,GSW,6-6,2003
1072,Jason Terry,ATL,6-2,2003
1073,Jason Williams,MEM,6-1,2003
1074,Jay Williams,CHI,6-2,2003
1075,Jeff Foster,IND,6-11,2003
1076,Jeff McInnis,POR,6-4,2003
1077,Jeff Trepagnier,DEN,6-4,2003
1078,Jelani McCoy,TOR,6-10,2003
1079,Jermaine Jackson,ATL,6-5,2003
1080,Jermaine O'Neal,IND,6-11,2003
1081,Jerome James,SEA,7-1,2003
1082,Jerome Moiso,NOH,6-10,2003
1083,Jerome Williams,TOR,6-9,2003
1084,Jerry Stackhouse,WAS,6-6,2003
1085,Jeryl Sasser,ORL,6-6,2003
1086,Jim Jackson,SAC,6-6,2003
1087,Jiri Welsch,GSW,6-7,2003
1088,Joe Johnson,PHX,6-7,2003
1089,Joe Smith,MIN,6-10,2003
1090,Joel Przybilla,MIL,7-1,2003
1091,John Amaechi,UTA,6-10,2003
1092,John Crotty,DEN,,2003
1093,John Salmons,PHI,6-7,2003
1094,John Stockton,UTA,6-1,2003
1095,Jon Barry,DET,6-5,2003
1096,Jonathan Bender,IND,7-0,2003
1097,Joseph Forte,SEA,6-4,2003
1098,Juan Dixon,WAS,6-3,2003
1099,Juaquin Hawkins,HOU,6-7,2003
1100,Jumaine Jones,CLE,6-8,2003
1101,Junior Harrington,DEN,6-4,2003
1102,Juwan Howard,DEN,6-9,2003
1103,Kareem Rush,LAL,6-6,2003
1104,Karl Malone,UTA,6-9,2003
1105,Kedrick Brown,BOS,6-7,2003
1106,Keith Van Horn,PHI,6-10,2003
1107,Kelvin Cato,HOU,6-11,2003
1108,Ken Johnson,MIA,6-10,2003
1109,Kendall Gill,MIN,6-5,2003
1110,Kenny Anderson,NOH,6-1,2003
1111,Kenny Satterfield,PHI,6-2,2003
1112,Kenny Thomas,PHI,6-7,2003
1113,Kenyon Martin,NJN,6-9,2003
1114,Keon Clark,SAC,6-11,2003
1115,Kerry Kittles,NJN,6-5,2003
1116,Kevin Garnett,MIN,6-11,2003
1117,Kevin Ollie,SEA,6-2,2003
1118,Kevin Willis,SAS,7-0,2003
1119,Keyon Dooling,LAC,6-3,2003
1120,Kirk Haston,NOH,6-9,2003
1121,Kobe Bryant,LAL,6-7,2003
1122,Kurt Thomas,NYK,6-9,2003
1123,Kwame Brown,WAS,6-11,2003
1124,LaPhonso Ellis,MIA,6-8,2003
1125,Lamar Odom,LAC,6-10,2003
1126,Larry Hughes,WAS,6-5,2003
1127,Latrell Sprewell,NYK,6-5,2003
1128,Lavor Postell,NYK,6-5,2003
1129,Lawrence Funderburke,SAC,6-9,2003
1130,Lee Nailon,NYK,6-9,2003
1131,Lindsey Hunter,TOR,6-2,2003
1132,Lonny Baxter,CHI,6-8,2003
1133,Loren Woods,MIN,7-1,2003
1134,Lorenzen Wright,MEM,6-11,2003
1135,Lucious Harris,NJN,6-5,2003
1136,Maceo Baston,TOR,6-9,2003
1137,Malik Allen,MIA,6-10,2003
1138,Malik Rose,SAS,6-7,2003
1139,Mamadou N'diaye,TOR,7-0,2003
1140,Manu Ginobili,SAS,6-6,2003
1141,Marc Jackson,MIN,6-10,2003
1142,Marcus Camby,DEN,6-11,2003
1143,Marcus Fizer,CHI,6-8,2003
1144,Marcus Haislip,MIL,6-10,2003
1145,Mark Blount,BOS,7-0,2003
1146,Mark Bryant,BOS,6-9,2003
1147,Mark Jackson,UTA,6-3,2003
1148,Mark Madsen,LAL,6-9,2003
1149,Mark Strickland,DAL,6-10,2003
1150,Marko Jaric,LAC,6-7,2003
1151,Mateen Cleaves,SAC,6-2,2003
1152,Matt Harpring,UTA,6-7,2003
1153,Matt Maloney,ATL,,2003
1154,Maurice Taylor,HOU,6-9,2003
1155,Mehmet Okur,DET,6-11,2003
1156,Melvin Ely,LAC,6-10,2003
1157,Mengke Bateer,SAS,6-11,2003
1158,Metta World Peace,IND,6-7,2003
1159,Michael Bradley,TOR,6-10,2003
1160,Michael Curry,DET,6-5,2003
1161,Michael Dickerson,MEM,6-5,2003
1162,Michael Doleac,NYK,6-11,2003
1163,Michael Finley,DAL,6-7,2003
1164,Michael Jordan,WAS,6-6,2003
1165,Michael Olowokandi,LAC,7-0,2003
1166,Michael Redd,MIL,6-6,2003
1167,Michael Stewart,CLE,6-10,2003
1168,Mike Batiste,MEM,6-8,2003
1169,Mike Bibby,SAC,6-1,2003
1170,Mike Dunleavy,GSW,6-9,2003
1171,Mike James,MIA,6-2,2003
1172,Mike Miller,MEM,6-8,2003
1173,Mike Wilks,MIN,5-10,2003
1174,Mikki Moore,ATL,7-0,2003
1175,Milt Palacio,CLE,6-3,2003
1176,Monty Williams,PHI,6-8,2003
1177,Moochie Norris,HOU,6-2,2003
1178,Morris Peterson,TOR,6-7,2003
1179,Nate Huffman,TOR,7-1,2003
1180,Nazr Mohammed,ATL,6-10,2003
1181,Nene,DEN,6-11,2003
1182,Nick Van Exel,DAL,6-1,2003
1183,Nikoloz Tskitishvili,DEN,7-0,2003
1184,Olumide Oyedeji,ORL,6-10,2003
1185,Oscar Torres,GSW,,2003
1186,Othella Harrington,NYK,6-9,2003
1187,P.J. Brown,NOH,6-11,2003
1188,Pat Burke,ORL,6-11,2003
1189,Pat Garrity,ORL,6-9,2003
1190,Pau Gasol,MEM,7-0,2003
1191,Paul Pierce,BOS,6-6,2003
1192,Paul Shirley,ATL,6-10,2003
1193,Peja Stojakovic,SAC,6-10,2003
1194,Pepe Sanchez,DET,6-4,2003
1195,Popeye Jones,DAL,6-8,2003
1196,Predrag Drobnjak,SEA,6-11,2003
1197,Predrag Savovic,DEN,6-6,2003
1198,Primoz Brezec,IND,7-1,2003
1199,Quentin Richardson,LAC,6-6,2003
1200,Qyntel Woods,POR,6-8,2003
1201,Raef LaFrentz,DAL,6-11,2003
1202,Rafer Alston,TOR,6-2,2003
1203,Raja Bell,DAL,6-5,2003
1204,Randy Brown,PHX,6-2,2003
1205,Randy Livingston,NOH,6-4,2003
1206,Rashard Lewis,SEA,6-10,2003
1207,Rasheed Wallace,POR,6-11,2003
1208,Rasho Nesterovic,MIN,7-0,2003
1209,Rasual Butler,MIA,6-7,2003
1210,Ray Allen,SEA,6-5,2003
1211,Reggie Evans,SEA,6-8,2003
1212,Reggie Miller,IND,6-7,2003
1213,Reggie Slater,MIN,6-7,2003
1214,Richard Hamilton,DET,6-7,2003
1215,Richard Jefferson,NJN,6-7,2003
1216,Rick Brunson,CHI,6-4,2003
1217,Rick Fox,LAL,6-7,2003
1218,Ricky Davis,CLE,6-7,2003
1219,Robert Archibald,MEM,6-11,2003
1220,Robert Horry,LAL,6-10,2003
1221,Robert Pack,NOH,6-2,2003
1222,Robert Traylor,NOH,6-8,2003
1223,Rod Strickland,MIN,6-3,2003
1224,Rodney Rogers,NJN,6-7,2003
1225,Rodney White,DEN,6-9,2003
1226,Roger Mason Jr.,CHI,6-5,2003
1227,Ron Mercer,IND,6-7,2003
1228,Ruben Boumtje-Boumtje,POR,7-0,2003
1229,Ruben Patterson,POR,6-5,2003
1230,Ruben Wolkowyski,BOS,6-10,2003
1231,Ryan Bowen,DEN,6-9,2003
1232,Ryan Humphrey,MEM,6-8,2003
1233,Sam Cassell,MIL,6-3,2003
1234,Samaki Walker,LAL,6-9,2003
1235,Scot Pollard,SAC,6-11,2003
1236,Scott Padgett,UTA,6-9,2003
1237,Scott Williams,PHX,6-10,2003
1238,Scottie Pippen,POR,6-8,2003
1239,Sean Lampley,MIA,6-7,2003
1240,Sean Marks,MIA,6-10,2003
1241,Sean Rooks,LAC,6-10,2003
1242,Shammond Williams,DEN,6-1,2003
1243,Shandon Anderson,NYK,6-6,2003
1244,Shane Battier,MEM,6-8,2003
1245,Shaquille O'Neal,LAL,7-1,2003
1246,Shareef Abdur-Rahim,ATL,6-9,2003
1247,Shawn Bradley,DAL,7-6,2003
1248,Shawn Kemp,ORL,6-10,2003
1249,Shawn Marion,PHX,6-7,2003
1250,Slava Medvedenko,LAL,6-10,2003
1251,Smush Parker,CLE,6-4,2003
1252,Soumaila Samake,LAL,6-10,2003
1253,Speedy Claxton,SAS,5-11,2003
1254,Stacey Augmon,NOH,6-8,2003
1255,Stephen Jackson,SAS,6-8,2003
1256,Stephon Marbury,PHX,6-2,2003
1257,Steve Francis,HOU,6-3,2003
1258,Steve Kerr,SAS,6-1,2003
1259,Steve Nash,DAL,6-3,2003
1260,Steven Hunter,ORL,7-0,2003
1261,Steven Smith,SAS,6-8,2003
1262,Stromile Swift,MEM,6-9,2003
1263,Tamar Slay,NJN,6-8,2003
1264,Tariq Abdul-Wahad,DAL,6-6,2003
1265,Tayshaun Prince,DET,6-9,2003
1266,Terence Morris,HOU,6-9,2003
1267,Theo Ratliff,ATL,6-10,2003
1268,Tierre Brown,CLE,6-2,2003
1269,Tim Duncan,SAS,7-0,2003
1270,Tim Hardaway,IND,6-0,2003
1271,Tim Thomas,MIL,6-10,2003
1272,Tito Maddox,HOU,6-4,2003
1273,Todd MacCulloch,PHI,7-0,2003
1274,Tom Gugliotta,PHX,6-10,2003
1275,Toni Kukoc,MIL,6-11,2003
1276,Tony Battie,BOS,6-11,2003
1277,Tony Delk,BOS,6-2,2003
1278,Tony Massenburg,UTA,6-9,2003
1279,Tony Parker,SAS,6-2,2003
1280,Tracy McGrady,ORL,6-8,2003
1281,Tracy Murray,LAL,6-7,2003
1282,Travis Best,MIA,5-11,2003
1283,Travis Knight,NYK,7-0,2003
1284,Tremaine Fowlkes,LAC,6-8,2003
1285,Trenton Hassell,CHI,6-5,2003
1286,Troy Hudson,MIN,6-1,2003
1287,Troy Murphy,GSW,6-11,2003
1288,Tyrone Hill,PHI,6-9,2003
1289,Tyronn Lue,WAS,6-0,2003
1290,Tyson Chandler,CHI,7-1,2003
1291,Vin Baker,BOS,6-11,2003
1292,Vince Carter,TOR,6-6,2003
1293,Vincent Yarbrough,DEN,6-7,2003
1294,Vitaly Potapenko,SEA,6-10,2003
1295,Vlade Divac,SAC,7-1,2003
1296,Vladimir Radmanovic,SEA,6-10,2003
1297,Vladimir Stepania,MIA,7-1,2003
1298,Voshon Lenard,TOR,6-4,2003
1299,Wally Szczerbiak,MIN,6-7,2003
1300,Walt Williams,DAL,6-8,2003
1301,Walter McCarty,BOS,6-10,2003
1302,Wang Zhi-zhi,LAC,7-1,2003
1303,Wesley Person,MEM,6-6,2003
1304,Yao Ming,HOU,7-5,2003
1305,Zach Randolph,POR,6-9,2003
