,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
65,Eddy Curry,60,6.2,11.6,1.8,3.5,0.6,0.3,0.9,2.6,3.2
358,Eduardo Nájera,4,2.1,4.7,1.5,2.1,1.0,0.6,0.4,0.9,2.2
486,Elden Campbell,1,1.0,3.1,0.7,1.6,0.5,0.2,0.2,0.7,1.4
29,Elton Brand,81,7.8,15.4,3.7,5.9,2.6,0.8,2.1,2.3,3.0
81,Emeka Okafor,73,6.1,13.7,3.8,7.1,0.9,0.8,1.7,1.7,2.9
388,Eric Piatkowski,11,1.6,3.8,0.2,0.9,0.8,0.4,0.0,0.5,1.0
427,Eric Snow,15,1.5,4.0,0.5,1.5,3.9,0.8,0.2,1.1,2.3
227,Eric Williams,39,2.6,6.0,0.8,2.3,1.7,0.7,0.1,1.1,2.7
199,Erick Dampier,56,3.4,6.2,3.1,5.4,0.9,0.3,1.4,1.7,3.5
381,Erick Strickland,5,1.8,4.9,0.2,1.5,1.9,0.5,0.0,1.0,1.7
603,Erik Daniels,0,0.3,0.9,0.3,0.5,0.2,0.1,0.0,0.3,0.3
565,Ervin Johnson,23,0.6,1.2,0.9,1.5,0.1,0.2,0.3,0.4,1.9
261,Etan Thomas,10,2.7,5.4,1.8,3.4,0.4,0.4,1.1,1.1,2.8
445,Francisco Elson,11,1.5,3.2,0.9,2.1,0.5,0.5,0.6,0.6,1.9
602,Frank Williams,0,0.3,2.2,0.2,0.4,1.2,0.2,0.3,0.3,1.0
336,Fred Hoiberg,0,1.8,3.7,0.4,2.0,1.1,0.7,0.2,0.3,1.4
158,Fred Jones,14,3.6,8.4,0.4,2.7,2.5,0.8,0.4,1.5,2.2
143,Gary Payton,77,4.4,9.4,0.6,2.4,6.1,1.1,0.2,1.9,1.6
584,Geno Carlisle,0,0.3,0.5,0.2,0.0,0.2,0.0,0.0,0.2,0.2
447,George Lynch,27,1.5,4.3,1.3,2.7,2.0,0.7,0.3,1.3,1.9
154,Gerald Wallace,68,4.1,9.1,1.7,3.8,2.0,1.7,1.3,2.3,2.6
6,Gilbert Arenas,80,8.2,19.0,1.0,3.7,5.1,1.7,0.3,3.0,3.1
178,Glenn Robinson,0,3.8,8.6,0.4,2.2,0.9,0.4,0.3,0.8,2.1
206,Gordan Giriček,44,3.5,7.8,0.3,1.9,1.7,0.6,0.1,1.1,1.9
30,Grant Hill,67,7.7,15.1,1.1,3.6,3.3,1.4,0.4,2.4,2.1
313,Greg Buckner,41,2.3,4.3,0.9,2.0,1.9,1.1,0.1,0.7,2.4
567,Greg Ostertag,3,0.7,1.5,1.0,2.0,0.7,0.1,0.7,0.4,1.6
580,Ha Seung-Jin,0,0.5,1.2,0.3,0.6,0.1,0.1,0.3,0.6,1.1
93,Hedo Türkoğlu,11,4.9,11.7,0.9,2.6,2.3,0.6,0.3,1.8,2.1
501,Horace Jenkins,0,1.0,3.0,0.2,0.4,0.6,0.3,0.1,0.5,0.4
342,Howard Eisley,1,2.2,5.5,0.2,1.0,3.4,0.6,0.1,1.5,2.1
