,index,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
520,520,2018UTA,0.0014717223264050956,-7.886909691997386e-05,0.5853658536585366,79.8,3.32,2018,0.0006964266147425609
521,521,2018WAS,0.0010234573919007753,-0.0017133522618729745,0.524390243902439,79.7,2.68,2018,-0.0003449474349860996
522,522,2019ATL,-0.0013485056086908816,-0.0003250294777768513,0.35365853658536583,79.0,3.44,2019,-0.0008367675432338665
523,523,2019BOS,-0.001251028923453574,3.545417493119383e-05,0.5975609756097561,78.7,2.96,2019,-0.0006077873742611901
524,524,2019BRK,-0.0012691643875573642,-0.004574383778830278,0.5121951219512195,79.1,2.24,2019,-0.002921774083193821
525,525,2019CHI,-0.000597371030242391,-0.0009475336441045872,0.2682926829268293,79.4,3.48,2019,-0.0007724523371734891
526,526,2019CLE,-0.00011838757773073775,-0.0027497638480313293,0.23170731707317074,79.2,2.28,2019,-0.0014340757128810334
527,527,2019DAL,-0.001322390867099234,0.00026156649128982986,0.4024390243902439,78.9,3.2,2019,-0.0005304121879047021
528,528,2019DEN,-0.001995612060668122,-0.0020769176878922507,0.6585365853658537,78.8,2.83,2019,-0.0020362648742801863
529,529,2019DET,-0.003922146297405123,0.002105285919867363,0.5,78.0,3.72,2019,-0.0009084301887688799
530,530,2019GSW,-0.0011128946794250237,-0.0006461469685590316,0.6951219512195121,78.9,3.04,2019,-0.0008795208239920277
531,531,2019HOU,-0.004781861883739343,-0.0027144262086073218,0.6463414634146342,77.8,2.57,2019,-0.0037481440461733326
532,532,2019IND,-0.003058743161566256,0.00046408856456951975,0.5853658536585366,78.3,3.28,2019,-0.0012973272984983682
533,533,2019LAC,-0.005007969775112728,-0.0024115505635068962,0.5853658536585366,77.9,2.54,2019,-0.003709760169309812
534,534,2019LAL,0.0011263099333698832,-0.00039838114585687357,0.45121951219512196,79.7,3.31,2019,0.00036396439375650476
535,535,2019MEM,-0.0002574148027035115,0.00029398577184097083,0.4024390243902439,79.1,3.26,2019,1.828548456872967e-05
536,536,2019MIA,-0.0014036710407932945,-0.002390748138094952,0.47560975609756095,79.1,2.94,2019,-0.0018972095894441232
537,537,2019MIL,-0.0015314393984209235,-0.0011249039220477444,0.7317073170731707,79.0,3.41,2019,-0.001328171660234334
538,538,2019MIN,3.246063921077476e-05,0.0011338134430600158,0.43902439024390244,79.2,3.52,2019,0.0005831370411353953
539,539,2019NOP,-0.0036333071909262246,-0.0022393091986964214,0.4024390243902439,78.3,2.86,2019,-0.0029363081948113228
540,540,2019NYK,-0.0006547035892667327,-0.0017295781578698585,0.2073170731707317,79.3,2.93,2019,-0.0011921408735682956
541,541,2019OKC,-0.0010992141068255253,-0.001689164056509514,0.5975609756097561,79.0,2.8,2019,-0.0013941890816675196
542,542,2019ORL,-0.00013820479178818963,-0.0004546827004614977,0.5121951219512195,79.2,3.47,2019,-0.0002964437461248437
543,543,2019PHI,0.000725132390155455,8.044428415386631e-05,0.6219512195121951,79.5,3.26,2019,0.00040278833715466064
544,544,2019PHO,0.001284427829701407,-0.0026826750391926108,0.23170731707317074,79.8,2.61,2019,-0.0006991236047456019
545,545,2019POR,0.0006896502399887152,0.0018512872308427322,0.6463414634146342,79.5,3.82,2019,0.0012704687354157236
546,546,2019SAC,-0.0007704691439307273,0.0008139565433104846,0.47560975609756095,79.0,3.53,2019,2.174369968987864e-05
547,547,2019SAS,-0.00011172624796880355,0.0005125157657789596,0.5853658536585366,79.3,3.4,2019,0.00020039475890507803
548,548,2019TOR,-0.0027048031117908743,0.0018430483509744376,0.7073170731707317,78.3,3.71,2019,-0.00043087738040821835
549,549,2019UTA,-0.001814889914573679,-0.0019077485098478533,0.6097560975609756,78.9,3.04,2019,-0.001861319212210766
550,550,2019WAS,0.0019967700029210247,-0.0034150968126112637,0.3902439024390244,80.0,2.2,2019,-0.0007091634048451195
551,551,2020ATL,0.001288882300611744,-0.0022027810742242075,0.29850746268656714,79.7,2.6,2020,-0.0004569493868062318
552,552,2020BOS,-0.0032790608872837975,-0.001170042907213545,0.6666666666666666,78.2,2.79,2020,-0.002224551897248671
