,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
305,2011MIN,0.0026907624838620613,-0.001600479394001237,0.2073170731707317,80.2,2.83,2011,0.0005451415449304122
306,2011NJN,0.002008447927737794,-0.0003598766446129472,0.2926829268292683,80.0,3.41,2011,0.0008242856415624235
307,2011NOH,-0.0018187579821342633,0.0003831561251729938,0.5609756097560976,78.7,3.46,2011,-0.0007178009284806347
308,2011NYK,0.0013333820782101048,3.5540605614757726e-05,0.5121951219512195,79.5,3.07,2011,0.0006844613419124312
309,2011OKC,0.0017038218701288192,-0.0010387844234837939,0.6707317073170732,80.0,3.14,2011,0.00033251872332251263
310,2011ORL,2.217377437711661e-05,0.0007194078523243273,0.6341463414634146,79.1,3.26,2011,0.0003707908133507219
311,2011PHI,-0.0002744444759727063,-0.0014858763852192325,0.5,79.4,3.08,2011,-0.0008801604305959694
312,2011PHO,0.004004330603603066,-0.0018309319285479634,0.4878048780487805,80.7,2.96,2011,0.0010866993375275515
313,2011POR,-0.00042511737967209273,-0.0016330671090220422,0.5853658536585366,79.2,2.83,2011,-0.0010290922443470674
314,2011SAC,0.004263705422996972,-0.0017056094862594412,0.2926829268292683,80.6,2.81,2011,0.0012790479683687656
315,2011SAS,0.0008992034583823782,-0.0008196500139290241,0.7439024390243902,79.6,2.98,2011,3.977672222667706e-05
316,2011TOR,-0.0005493990079045759,-0.0010595625326744048,0.2682926829268293,79.2,2.9,2011,-0.0008044807702894904
317,2011UTA,-0.0018864973898024637,0.0005249500712548357,0.47560975609756095,78.7,3.37,2011,-0.000680773659273814
318,2011WAS,0.0032516645071581827,-0.0006381048850111196,0.2804878048780488,80.4,3.21,2011,0.0013067798110735316
319,2012ATL,0.001004451616731094,-0.0020218526113655504,0.6060606060606061,79.7,2.56,2012,-0.0005087004973172281
320,2012BOS,-0.0015348741369155224,-1.0954397443325574e-05,0.5909090909090909,78.8,3.2,2012,-0.000772914267179424
321,2012CHI,0.0009048783894006848,0.002768209421064378,0.7575757575757576,79.3,3.97,2012,0.0018365439052325315
322,2012CLE,-0.0003632393329728031,0.00018353042053156476,0.3181818181818182,79.1,3.14,2012,-8.985445622061917e-05
323,2012DAL,-0.00012530320554036178,0.002640889870746838,0.5454545454545454,79.3,4.09,2012,0.001257793332603238
324,2012DEN,0.004193830816009346,0.002368461428259632,0.5757575757575758,80.4,4.13,2012,0.0032811461221344887
325,2012DET,0.0017358234520958012,-0.0003984503797366651,0.3787878787878788,79.8,3.07,2012,0.000668686536179568
326,2012GSW,-0.0007601630198682453,0.0024686576370313656,0.3484848484848485,78.7,4.09,2012,0.0008542473085815601
327,2012HOU,0.0013995942581551779,-0.00012513192928500055,0.5151515151515151,79.6,3.21,2012,0.0006372311644350886
328,2012IND,0.0009397098217614328,0.0016651377892339448,0.6363636363636364,79.5,3.87,2012,0.0013024238054976888
329,2012LAC,-0.002282467460083571,0.0017564924697729084,0.6060606060606061,78.4,3.51,2012,-0.00026298749515533124
330,2012LAL,0.0011449612796827595,0.0013599198164037437,0.6212121212121212,79.7,3.79,2012,0.0012524405480432515
331,2012MEM,-0.0007722256973788361,0.0010525221904021597,0.6212121212121212,78.9,3.38,2012,0.00014014824651166182
332,2012MIA,0.00028029467377408844,-0.0006850949161179151,0.696969696969697,79.4,2.95,2012,-0.0002024001211719133
333,2012MIL,0.0001165781357147729,0.0004102144805762202,0.4696969696969697,79.2,3.2,2012,0.00026339630814549653
334,2012MIN,-0.002947524391380097,0.002153285614999373,0.3939393939393939,78.1,3.77,2012,-0.00039711938819036205
335,2012NJN,-0.0032724154349051725,-0.00022701852763341984,0.3333333333333333,78.3,3.28,2012,-0.0017497169812692962
336,2012NOH,0.0047054944812151755,-0.001887829539415596,0.3181818181818182,80.8,2.79,2012,0.0014088324708997897
337,2012NYK,0.0014158373914306566,-0.00046990463387969943,0.5454545454545454,79.8,3.23,2012,0.0004729663787754786
338,2012OKC,0.0015607435576263104,-0.000836937737124036,0.7121212121212122,79.9,3.17,2012,0.0003619029102511372
339,2012ORL,-0.00033727174364503703,0.0026546323361424907,0.5606060606060606,78.9,3.67,2012,0.0011586802962487268
340,2012PHI,0.0006013377929968499,-0.0009757435245909614,0.5303030303030303,79.6,3.14,2012,-0.00018720286579705577
341,2012PHO,0.001210879916143525,0.001747088072620324,0.5,79.7,3.97,2012,0.0014789839943819246
342,2012POR,0.0004047753672065667,0.0005869991210517215,0.42424242424242425,79.3,3.31,2012,0.0004958872441291442
343,2012SAC,-0.0011503483580309968,0.002105223365038792,0.3333333333333333,78.6,4.11,2012,0.0004774375035038976
344,2012SAS,0.0008110118413327818,-0.002109724132503181,0.7575757575757576,79.6,2.77,2012,-0.0006493561455851996
345,2012TOR,0.002301729769348844,-0.0012654383332143036,0.3484848484848485,80.1,2.97,2012,0.0005181457180672702
346,2012UTA,-0.00039055302999276763,-0.0016312048504820787,0.5454545454545454,79.1,2.73,2012,-0.001010878940237423
347,2012WAS,0.0003071509663758908,-0.0006903604859122143,0.30303030303030304,79.5,3.03,2012,-0.00019160475976816177
348,2013ATL,-0.000819143212395871,-0.0006199676569873602,0.5365853658536586,79.0,2.91,2013,-0.0007195554346916156
349,2013BOS,-0.0008949095212667836,0.0008876581598007249,0.5061728395061729,78.9,3.29,2013,-3.6256807330293465e-06
350,2013BRK,0.00022579888183931753,-0.0008924588447006053,0.5975609756097561,79.5,3.26,2013,-0.0003333299814306439
351,2013CHI,0.0011697105469852004,0.0006075227914061698,0.5487804878048781,79.2,3.87,2013,0.000888616669195685
352,2013CLE,-0.0021806663366094655,7.332742794259939e-05,0.2926829268292683,78.7,3.4,2013,-0.001053669454333433
353,2013DAL,0.0005089817226274023,0.0014177668277374007,0.5,79.4,3.78,2013,0.0009633742751824015
354,2013DEN,0.0022636418550299265,0.0014291680158521037,0.6951219512195121,79.8,3.82,2013,0.001846404935441015
355,2013DET,0.0002307530599282369,0.002613003388103328,0.35365853658536583,79.2,3.82,2013,0.0014218782240157826
356,2013GSW,0.0012510341549849934,-0.000544255268192208,0.573170731707317,79.7,3.09,2013,0.0003533894433963927
357,2013HOU,-0.0010071102745148825,0.0004067316025255217,0.5487804878048781,79.0,3.29,2013,-0.0003001893359946804
358,2013IND,0.0014882263899355789,0.00047684979338373724,0.6049382716049383,79.7,3.87,2013,0.000982538091659658
359,2013LAC,-0.0005920552109210293,0.0018753698160717933,0.6829268292682927,78.9,3.64,2013,0.000641657302575382
360,2013LAL,-0.0008561524784323644,0.00085645814439391,0.5487804878048781,79.0,3.5,2013,1.5283298077279923e-07
361,2013MEM,-0.0006372004681126197,0.0006027407112380897,0.6829268292682927,78.9,3.29,2013,-1.7229878437264993e-05
362,2013MIA,-0.00027971169714478686,-0.00012275727271457673,0.8048780487804879,79.2,3.07,2013,-0.0002012344849296818
363,2013MIL,0.0006958805500402882,0.0005930662292953962,0.4634146341463415,79.4,3.27,2013,0.0006444733896678423
364,2013MIN,-0.0002841398943587646,0.003130773582490003,0.3780487804878049,78.8,4.08,2013,0.0014233168440656193
365,2013NOH,0.0006905352982610444,0.0010477771278022358,0.32926829268292684,79.6,3.75,2013,0.0008691562130316401
366,2013NYK,9.928873818492413e-05,0.0006989499120166781,0.6585365853658537,79.4,3.59,2013,0.0003991193251008011
367,2013OKC,0.002949282002489369,0.0006863822786286988,0.7317073170731707,80.4,3.96,2013,0.001817832140559034
368,2013ORL,-0.0012710778224816106,0.0005565213524367616,0.24390243902439024,78.7,3.12,2013,-0.0003572782350224245
369,2013PHI,0.00020754983832410847,-0.00311836134170512,0.4146341463414634,79.6,2.7,2013,-0.0014554057516905057
370,2013PHO,0.0019658045015869415,-0.0019278494463962107,0.3048780487804878,80.0,2.54,2013,1.897752759536539e-05
371,2013POR,0.0015354425407418234,-0.0003244564834469504,0.4024390243902439,79.8,3.2,2013,0.0006054930286474366
372,2013SAC,-0.005144276061235156,0.0032143787371080867,0.34146341463414637,77.5,4.12,2013,-0.0009649486620635348
373,2013SAS,0.0003709318766015665,-0.0015332420732324327,0.7073170731707317,79.5,2.86,2013,-0.0005811550983154331
374,2013TOR,0.0008788780970235449,0.0004456557730187072,0.4146341463414634,79.5,3.44,2013,0.0006622669350211261
375,2013UTA,-0.0006169329010848027,-0.0006508854007298982,0.524390243902439,79.0,2.87,2013,-0.0006339091509073504
376,2013WAS,-0.0017590783349743727,-0.001108778205006333,0.35365853658536583,78.8,2.97,2013,-0.0014339282699903529
377,2014ATL,-0.0011987580491917124,-0.0013451036628517182,0.4634146341463415,78.9,2.8,2014,-0.0012719308560217154
378,2014BOS,-0.0019377124542346296,0.0026203666937427315,0.3048780487804878,78.4,3.73,2014,0.00034132711975405096
379,2014BRK,0.0036070365010043982,-0.0025642334221283557,0.5365853658536586,80.5,2.37,2014,0.0005214015394380213
380,2014CHI,0.0023568495054239677,-0.0001262114617999136,0.5853658536585366,79.8,3.38,2014,0.001115319021812027
381,2014CLE,-0.0012066025999750867,7.038762373293512e-05,0.4024390243902439,78.9,3.47,2014,-0.0005681074881210758
382,2014DAL,-0.00037959121588751,-0.000738817045175105,0.5975609756097561,79.3,3.16,2014,-0.0005592041305313075
